Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Final Exam Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, April 1, 2022. For additional information about Final Exam policies, see the Faculty Handbook. 
Class              date          time     exam location or date due
AMST 1101 202    5/19/2022      4:30 PM   Final Deliverable due
AMST 1101 203    5/17/2022     12:00 PM   Final Deliverable due
AMST 1101 204    5/17/2022     12:00 PM   Final Deliverable due
AMST 1500 001    5/18/2022      9:00 AM   McGraw Hall 165
AMST 1540 001    5/16/2022      9:00 AM   Uris Hall G01
AMST 1601 001    5/18/2022      2:00 PM   McGraw Hall 165
AMST 1820 001    5/17/2022     12:00 PM   Final Deliverable due
AMST 1951 001    5/18/2022      4:30 PM   Final Deliverable due
AMST 2000 001    5/19/2022      7:00 PM   Goldwin Smith Hall G76 Lewis
AMST 2092 101    5/16/2022     12:00 PM   Final Deliverable due
AMST 2152 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 2391 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 2460 101    5/17/2022     12:00 PM   Final Deliverable due
AMST 2512 001    5/18/2022      4:30 PM   Final Deliverable due
AMST 2581 001    5/19/2022      4:30 PM   Final Deliverable due
AMST 2620 001    5/18/2022     12:00 PM   Final Deliverable due
AMST 2675 001    5/17/2022      2:00 PM   Goldwin Smith Hall 142
AMST 2710 001    5/18/2022      7:00 PM   Goldwin Smith Hall G64 Kau Aud
AMST 2722 001    5/17/2022      4:30 PM   Final Deliverable due
AMST 2729 001    5/19/2022      4:30 PM   Final Deliverable due
AMST 2735 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 2751 103    5/19/2022      4:30 PM   Final Deliverable due
AMST 2790 001    5/18/2022      4:30 PM   Final Deliverable due
AMST 3072 001    5/18/2022     12:00 PM   Final Deliverable due
AMST 3122 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 3185 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 3262 001    5/16/2022      9:00 AM   White Hall 110
AMST 3355 101    5/19/2022      7:00 PM   McGraw Hall 165
AMST 3370 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 3404 001    5/14/2022      2:00 PM   Ives Hall 108
AMST 3405 001    5/18/2022      4:30 PM   Final Deliverable due
AMST 3442 101    5/18/2022      4:30 PM   Final Deliverable due
AMST 3581 101    5/18/2022     12:00 PM   Final Deliverable due
AMST 3616 101    5/18/2022      4:30 PM   Final Deliverable due
AMST 3625 101    5/16/2022     12:00 PM   Final Deliverable due
AMST 3661 101    5/17/2022      4:30 PM   Final Deliverable due
AMST 3675 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 3703 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 3732 101    5/17/2022     12:00 PM   Final Deliverable due
AMST 3734 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 3870 001    5/18/2022     12:00 PM   Final Deliverable due
AMST 4002 101    5/18/2022     12:00 PM   Final Deliverable due
AMST 4051 001    5/20/2022      9:00 AM   McGraw Hall 165
AMST 4066 001    5/19/2022      4:30 PM   Final Deliverable due
AMST 4155 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 4603 101    5/17/2022      4:30 PM   Final Deliverable due
AMST 4615 101    5/18/2022     12:00 PM   Final Deliverable due
AMST 4669 101    5/17/2022      4:30 PM   Final Deliverable due
AMST 4851 101    5/16/2022     12:00 PM   Final Deliverable due
AMST 6155 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 6202 101    5/16/2022     12:00 PM   Final Deliverable due
AMST 6338 101    5/19/2022      4:30 PM   Final Deliverable due
AMST 6669 101    5/17/2022      4:30 PM   Final Deliverable due
AMST 6703 001    5/16/2022     12:00 PM   Final Deliverable due
AMST 6809 101    5/16/2022     12:00 PM   Final Deliverable due

ANSC 2000 001    5/16/2022      7:00 PM   Morrison Hall 146
ANSC 2210 001    5/19/2022      2:00 PM   Morrison Hall 146
ANSC 2400 001    5/14/2022      2:00 PM   Morrison Hall 146
ANSC 2410 401    5/20/2022      9:00 AM   Online Exam
ANSC 2410 402    5/20/2022      9:00 AM   Online Exam
ANSC 3300 001    5/16/2022      9:00 AM   Morrison Hall 146
ANSC 3400 001    5/20/2022      2:00 PM   M Van Rensselaer Hall G155
ANSC 3410 001    5/19/2022      2:00 PM   Morrison Hall 163
ANSC 3450 001    5/18/2022      7:00 PM   Morrison Hall 163
ANSC 3510 001    5/17/2022      2:00 PM   Morrison Hall 163
ANSC 3700 001    5/21/2022      9:00 AM   Morrison Hall 146
ANSC 4280 001    5/17/2022      7:00 PM   Morrison Hall 163
ANSC 4290 001    5/18/2022      2:00 PM   Morrison Hall 163
ANSC 4410 001    5/14/2022      2:00 PM   Morrison Hall 334
ANSC 4940 401    5/17/2022      2:00 PM   tba
ANSC 5210 001    5/19/2022      2:00 PM   Morrison Hall 146
ANSC 5300 001    5/16/2022      9:00 AM   Morrison Hall 146
ANSC 5410 001    5/19/2022      2:00 PM   Morrison Hall 163
ANSC 5450 001    5/18/2022      7:00 PM   Morrison Hall 163
ANSC 5510 001    5/17/2022      2:00 PM   Morrison Hall 163
ANSC 6280 001    5/17/2022      7:00 PM   Morrison Hall 163
